GROUP WARANTY,MAIN PRODUCT,TYPE,GROUP,SERIES,SUB SERIES,Thai / Asia (Except Japan),,,Europe / Japan / USA / Australia,,,Item number,Property,Product name,Search name,Item remark,Text production,Production pool,Item group,Unit
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-04-002,,HYD FORK UPGRADE KIT,YAM\AEROX 155 '17>,ECR001539/ปรับ BOM 12-09-19,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-04-004,,HYD FORK UPGRADE KIT,YAM\EXCITER 150 '15>,ECR001539/ปรับ BOM 20-09-19,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-04-006,,HYD FORK UPGRADE KIT,YAM\JUPITER RC 115 '16>,ECR001539/ปรับ BOM 30-09-19,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-04-009,,HYD FORK UPGRADE KIT,YAM\Q-BIX 125 '17> (NO ABS),,BOM-R2 SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-04-013,,HYD FORK UPGRADE KIT,YAM\Q-BIX 125 '17> (ABS),,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC21-KIT-04-014,,HYD FORK UPGRADE KIT,YAM\ GRAND FILANO 125 '14> / GRAND FILANO HYBRID 125 '18>,ECR001539/ปรับ BOM 30-09-19,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC25-KIT-04-001,,HYD FORK UPGRADE KIT,YAM\ N-MAX 155 '15>,ECR001539/ปรับ BOM 20-09-19,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC26-KIT-01-017,,HYD FORK UPGRADE KIT,HO\PCX 150i '18>,ECR001539/ปรับ BOM 20-09-19,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC26-KIT-01-024,,HYD FORK UPGRADE KIT,HO\SUPRA GTR-150 '17>/ RS-150R  '17>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC26-KIT-01-029,,HYD FORK UPGRADE KIT,HO\ ADV 150 '19>,,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC26-KIT-01-031,,HYD FORK UPGRADE KIT,HO\PCX 150i '18> (SHORTEN L-20),,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCC26-KIT-03-002,,HYD FORK UPGRADE KIT,SUZ\GSX-R 150 '17>/GSX-S 150 '17>,ECR001017 NEW PACKING+SPRING-G,BOM-R2-NEW SET 4-10-17,6127,FG-CARTRID,SET
